soil_moisture,soil_moisture_p,humidity_p,temperature_c,heat_index_c
213.0,90.0,63.0,19.4,19.04
213.0,90.0,63.0,19.4,19.04
213.0,90.0,63.0,19.4,19.04
213.0,90.0,63.0,19.4,19.04
213.0,90.0,63.0,19.4,19.04
213.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
213.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
213.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
215.0,89.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
213.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
215.0,89.0,63.0,19.4,19.04
214.0,90.0,63.0,19.4,19.04
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.4,19.07
214.0,90.0,64.0,19.4,19.07
215.0,89.0,64.0,19.0,18.63
213.0,90.0,64.0,19.0,18.63
213.0,90.0,64.0,19.0,18.63
213.0,90.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
214.0,90.0,64.0,19.0,18.63
210.0,91.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
217.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
218.0,88.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
215.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
209.0,92.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
217.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
216.0,89.0,64.0,19.0,18.63
217.0,89.0,64.0,18.9,18.52
216.0,89.0,64.0,18.8,18.41
217.0,89.0,64.0,18.7,18.3
217.0,89.0,64.0,18.7,18.3
216.0,89.0,64.0,18.7,18.3
217.0,89.0,64.0,18.7,18.3
217.0,89.0,64.0,18.6,18.19
216.0,89.0,64.0,18.6,18.19
215.0,89.0,64.0,18.6,18.19
216.0,89.0,64.0,18.6,18.19
215.0,89.0,64.0,18.6,18.19
216.0,89.0,64.0,18.6,18.19
215.0,89.0,64.0,18.6,18.19
215.0,89.0,64.0,18.6,18.19
216.0,89.0,64.0,18.6,18.19
215.0,89.0,64.0,18.6,18.19
216.0,89.0,64.0,18.6,18.19
217.0,89.0,64.0,18.6,18.19
216.0,89.0,64.0,18.6,18.19
216.0,89.0,65.0,18.6,18.21
210.0,91.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
220.0,87.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
218.0,88.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
211.0,91.0,65.0,18.6,18.21
215.0,89.0,65.0,18.6,18.21
220.0,87.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
209.0,92.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
211.0,91.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
214.0,90.0,65.0,18.6,18.21
216.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.6,18.21
217.0,89.0,65.0,18.4,17.99
217.0,89.0,65.0,18.3,17.88
217.0,89.0,65.0,18.3,17.88
216.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
220.0,87.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
213.0,90.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
220.0,87.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
209.0,92.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
220.0,87.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
220.0,87.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
212.0,91.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
216.0,89.0,65.0,18.2,17.77
214.0,90.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
220.0,87.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
220.0,87.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
216.0,89.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
220.0,87.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
220.0,87.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
218.0,88.0,65.0,18.2,17.77
217.0,89.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
219.0,88.0,65.0,18.2,17.77
219.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
218.0,88.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
219.0,88.0,66.0,18.2,17.8
217.0,89.0,66.0,18.2,17.8
